age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass_Non-Private,workclass_Private,marital-status_Married,marital-status_Non-Married,occupation_Managerial-Specialist,occupation_Other,relationship_Husband,relationship_Non-Husband,race_Non-White,race_White,native-country_Non-US,native-country_US
28,255254,13,0,0,37,1,0,1,0,1,0,0,1,1,0,0,1
44,264016,13,0,0,40,1,0,1,0,1,0,0,1,1,0,0,1
47,204900,9,0,0,40,1,0,1,0,1,0,0,1,1,0,0,1
29,165764,13,0,0,35,1,0,1,0,1,0,0,1,1,0,0,1
38,217409,10,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
47,181652,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
27,104017,13,0,1628,50,0,1,1,0,1,0,0,1,0,1,0,1
34,44464,16,0,0,60,1,0,0,1,1,0,0,1,0,1,0,1
47,334679,14,0,0,42,0,1,0,1,1,0,0,1,1,0,1,0
26,360252,12,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
40,349405,11,0,0,36,0,1,1,0,1,0,0,1,0,1,0,1
27,204773,12,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
29,446559,12,0,0,50,0,1,1,0,1,0,0,1,0,1,0,1
36,184556,13,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
49,169092,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
64,380687,13,0,0,8,1,0,1,0,1,0,0,1,1,0,0,1
26,282142,11,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
26,198163,14,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
47,182474,9,0,0,36,1,0,1,0,1,0,0,1,0,1,0,1
56,285832,14,0,0,70,1,0,1,0,0,1,0,1,0,1,0,1
32,133530,14,0,0,20,0,1,1,0,1,0,0,1,1,0,0,1
38,187983,15,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
27,209443,13,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
45,384627,14,2580,0,18,1,0,1,0,1,0,0,1,0,1,0,1
43,171754,12,0,0,40,0,1,1,0,1,0,0,1,1,0,0,1
39,193583,13,5455,0,60,1,0,0,1,1,0,0,1,0,1,0,1
46,101455,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
40,189189,13,0,0,20,1,0,1,0,1,0,0,1,0,1,0,1
55,170166,13,0,0,25,1,0,1,0,1,0,0,1,0,1,0,1
42,390781,13,0,0,40,0,1,1,0,1,0,0,1,1,0,0,1
55,52888,15,0,0,10,1,0,1,0,1,0,0,1,0,1,0,1
30,217296,11,0,0,35,0,1,1,0,1,0,0,1,0,1,0,1
30,159303,13,0,0,4,0,1,1,0,1,0,0,1,0,1,0,1
25,216010,12,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
25,258379,13,0,0,32,0,1,1,0,1,0,0,1,0,1,0,1
30,316606,13,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
38,65291,13,0,0,24,0,1,1,0,0,1,0,1,0,1,0,1
42,204033,13,0,0,35,1,0,1,0,1,0,0,1,0,1,0,1
46,224108,9,0,0,50,1,0,1,0,1,0,0,1,0,1,0,1
43,195212,13,0,0,40,0,1,1,0,1,0,0,1,1,0,0,1
66,188686,13,0,0,4,1,0,1,0,1,0,0,1,0,1,0,1
32,235847,10,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
55,110844,9,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
33,48214,14,0,0,8,1,0,1,0,1,0,0,1,0,1,0,1
33,156383,13,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
30,113453,14,0,0,30,0,1,1,0,1,0,0,1,0,1,0,1
51,181179,13,0,0,25,1,0,1,0,1,0,0,1,0,1,0,1
32,235109,13,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
42,222978,16,0,0,45,1,0,0,1,1,0,0,1,0,1,0,1
50,155433,13,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
37,174503,13,0,0,50,0,1,0,1,1,0,0,1,0,1,0,1
41,56795,14,0,0,45,0,1,1,0,1,0,0,1,0,1,1,0
47,180243,13,0,0,40,0,1,0,1,0,1,0,1,0,1,0,1
41,211873,11,0,1628,5,0,1,1,0,1,0,0,1,0,1,0,1
44,208277,9,0,0,45,1,0,1,0,1,0,0,1,0,1,0,1
44,101967,14,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
28,338409,13,0,0,40,0,1,1,0,1,0,0,1,1,0,1,0
32,199655,10,0,1740,40,0,1,1,0,1,0,0,1,1,0,0,1
53,58985,10,0,0,24,0,1,1,0,1,0,0,1,0,1,0,1
53,94186,12,0,0,37,1,0,1,0,1,0,0,1,1,0,0,1
31,286282,13,0,0,20,1,0,1,0,1,0,0,1,0,1,0,1
42,334783,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
29,400074,10,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
38,29075,10,5013,0,40,1,0,1,0,1,0,0,1,1,0,0,1
35,343403,16,0,0,20,0,1,1,0,0,1,0,1,0,1,0,1
39,206253,13,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
41,213154,10,0,0,40,1,0,1,0,1,0,0,1,1,0,0,1
41,106982,13,0,0,52,1,0,1,0,1,0,0,1,0,1,0,1
43,113211,9,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
43,158926,14,0,0,50,0,1,1,0,1,0,0,1,1,0,1,0
36,294672,13,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
58,36091,14,0,0,40,1,0,0,1,1,0,0,1,1,0,0,1
36,263574,11,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
58,169611,9,0,0,40,0,1,1,0,1,0,0,1,0,1,0,1
28,200775,14,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
28,59335,13,0,0,15,0,1,1,0,1,0,0,1,0,1,0,1
62,369734,9,0,0,40,1,0,1,0,1,0,0,1,0,1,0,1
48,148306,14,0,0,40,1,0,0,1,1,0,0,1,0,1,0,1
43,132633,10,0,0,40,0,1,1,0,0,1,0,1,0,1,0,1
26,63234,13,4508,0,12,0,1,1,0,0,1,0,1,0,1,0,1
28,173483,13,5013,0,20,0,1,1,0,1,0,0,1,0,1,0,1
48,100818,13,7443,0,45,1,0,0,1,1,0,0,1,0,1,0,1
47,73394,10,0,0,50,0,1,1,0,1,0,0,1,0,1,0,1
28,258862,11,0,0,18,0,1,1,0,1,0,0,1,0,1,0,1
